scenario,pm_mean,pm_std,pm_n,pm_min,pm_max,pm_cv,ci_halfwidth,ci_precision,ci_lower,ci_upper,unit,pm
1,0.41482859298408603,0.018244890052793773,15,0.3821758398619471,0.4486299160501649,0.043981756227429815,0.01010368333911353,0.024356284764346352,0.4047249096449725,0.4249322763231996,obs,occ_mean_obs
2,0.396368785245942,0.01568930729811048,15,0.3679089887876338,0.4243234424305907,0.03958260055310727,0.008688448781629004,0.02192011355343718,0.387680336464313,0.405057234027571,obs,occ_mean_obs
3,0.35923513148047354,0.015222178999176375,15,0.3354102491824454,0.3916908304767857,0.04237385952883561,0.008429761752136805,0.023465861251922158,0.35080536972833676,0.3676648932326103,obs,occ_mean_obs
4,0.34559768522441525,0.012431376339138092,15,0.3227535146620132,0.3658123195323414,0.03597065857390141,0.006884266752858102,0.01991988675615051,0.33871341847155717,0.35248195197727333,obs,occ_mean_obs
5,0.5552843143261693,0.051519833383642015,15,0.4819822895703956,0.6768917075964924,0.09278099894854891,0.028530732752346757,0.0513804046256348,0.5267535815738226,0.5838150470785161,obs,occ_mean_obs
6,0.4936836636754982,0.03482814808779438,15,0.4343281961632447,0.5502155412761784,0.0705474996448073,0.019287185537900396,0.0390679031068324,0.47439647813759783,0.5129708492133986,obs,occ_mean_obs
7,0.43037956739139865,0.04029371922156242,15,0.3758742702589117,0.5188851918598248,0.09362368075647569,0.022313917945889664,0.05184706625627697,0.408065649445509,0.4526934853372883,obs,occ_mean_obs
8,0.38796754219096174,0.024521440291420577,15,0.3468226650110478,0.4279809105325813,0.06320487572991573,0.0135795210059682,0.03500169351611433,0.37438802118499354,0.40154706319692995,obs,occ_mean_obs
9,0.7606550690382397,0.03527994647437394,15,0.6977734569352824,0.8451328094779782,0.04638100488698689,0.019537383144896843,0.025684944385632773,0.7411176858933428,0.7801924521831365,obs,occ_mean_obs
10,0.7449880302353115,0.031399084549218956,15,0.6873121334151494,0.8196104041387156,0.042147099382658884,0.017388233445384992,0.02334028566860699,0.7275997967899265,0.7623762636806964,obs,occ_mean_obs
11,0.5860010973298072,0.020503085666495075,15,0.5456447511296428,0.6345520992042011,0.03498813527810808,0.011354230387223548,0.01937578349078291,0.5746468669425837,0.5973553277170307,obs,occ_mean_obs
12,0.5773806068773335,0.01939991253809907,15,0.539664492853765,0.6225767900483344,0.03359986862568914,0.010743313471567721,0.018606987043903563,0.5666372934057657,0.5881239203489013,obs,occ_mean_obs
13,0.8944415399749154,0.05537687102756679,15,0.8084992908993369,1.0339434110346608,0.061912230763700705,0.030666689004672273,0.034285850594028,0.8637748509702431,0.9251082289795877,obs,occ_mean_obs
14,0.8627981694557262,0.04806928534037577,15,0.7838534501534158,0.986590127948132,0.0557132444667784,0.02661988293770392,0.03085296640638028,0.8361782865180223,0.8894180523934301,obs,occ_mean_obs
15,0.6295432624943942,0.03337724664617605,15,0.583188963011019,0.7134362125769254,0.053018193720202444,0.018483703100902638,0.029360497049346512,0.6110595593934915,0.6480269655952968,obs,occ_mean_obs
16,0.6126123365022497,0.028140030900407047,15,0.5741943600842704,0.6849026494008077,0.04593448290818693,0.015583429691704063,0.02543766875587044,0.5970289068105457,0.6281957661939537,obs,occ_mean_obs
1,1.0,0.0,15,1.0,1.0,0.0,0.0,0.0,1.0,1.0,obs,occ_p95_obs
2,1.0,0.0,15,1.0,1.0,0.0,0.0,0.0,1.0,1.0,obs,occ_p95_obs
3,1.0,0.0,15,1.0,1.0,0.0,0.0,0.0,1.0,1.0,obs,occ_p95_obs
4,1.0,0.0,15,1.0,1.0,0.0,0.0,0.0,1.0,1.0,obs,occ_p95_obs
5,2.466666666666667,0.5163977794943221,15,2.0,3.0,0.2093504511463468,0.2859715583889236,0.11593441556307713,2.1806951082777433,2.7526382250555903,obs,occ_p95_obs
6,2.2,0.41403933560541256,15,2.0,3.0,0.18819969800246025,0.22928734153996533,0.10422151888180241,1.9707126584600347,2.4292873415399656,obs,occ_p95_obs
7,2.0,0.0,15,2.0,2.0,0.0,0.0,0.0,2.0,2.0,obs,occ_p95_obs
8,2.0,0.0,15,2.0,2.0,0.0,0.0,0.0,2.0,2.0,obs,occ_p95_obs
9,2.0,0.0,15,2.0,2.0,0.0,0.0,0.0,2.0,2.0,obs,occ_p95_obs
10,2.0,0.0,15,2.0,2.0,0.0,0.0,0.0,2.0,2.0,obs,occ_p95_obs
11,2.0,0.0,15,2.0,2.0,0.0,0.0,0.0,2.0,2.0,obs,occ_p95_obs
12,2.0,0.0,15,2.0,2.0,0.0,0.0,0.0,2.0,2.0,obs,occ_p95_obs
13,3.6,0.6324555320336759,15,3.0,5.0,0.17568209223157663,0.3502421995006946,0.09728949986130404,3.2497578004993057,3.9502421995006944,obs,occ_p95_obs
14,3.3333333333333335,0.48795003647426655,15,3.0,4.0,0.14638501094227996,0.2702177234052424,0.08106531702157273,3.063115609928091,3.603551056738576,obs,occ_p95_obs
15,2.1333333333333333,0.35186577527449847,15,2.0,3.0,0.16493708215992117,0.1948567714553495,0.09133911161969507,1.9384765618779838,2.328190104788683,obs,occ_p95_obs
16,2.066666666666667,0.2581988897471611,15,2.0,3.0,0.12493494665185213,0.14298577919446182,0.06918666735215893,1.9236808874722051,2.2096524458611286,obs,occ_p95_obs
1,4.62202666116295,0.11321069403978998,15,4.44184500712336,4.811839789669118,0.024493734532311198,0.06269399266695787,0.013564178067978388,4.559332668495992,4.684720653829908,ldr,occ_mean_ldr
2,4.499615486819279,0.09701612911845882,15,4.348635088823879,4.679674554178854,0.0215609821333952,0.05372574153985443,0.011940073923479289,4.445889745279424,4.553341228359133,ldr,occ_mean_ldr
3,4.703106245574179,0.1232466404623237,15,4.4888158806512894,4.909994736417301,0.026205370244039027,0.06825171454788874,0.01451205033101612,4.63485453102629,4.771357960122067,ldr,occ_mean_ldr
4,4.554744533093027,0.10317328278361936,15,4.390804806767306,4.7384917358482,0.022651826471057124,0.05713545958819742,0.01254416338239677,4.4976090735048295,4.611879992681224,ldr,occ_mean_ldr
5,4.552705714363951,0.1055585866648954,15,4.359586466146505,4.739534786104878,0.023185901590751682,0.058456396848670586,0.012839924325492542,4.49424931751528,4.6111621112126215,ldr,occ_mean_ldr
6,4.425768911689141,0.09409328057376164,15,4.269733717944382,4.586692908378239,0.021260323901061966,0.05210712196701206,0.011773574944093689,4.373661789722129,4.477876033656153,ldr,occ_mean_ldr
7,4.675125940022714,0.12013681194112465,15,4.449630567148621,4.878786988500004,0.025697021531047987,0.06652954891541744,0.014230536197083539,4.608596391107297,4.7416554889381315,ldr,occ_mean_ldr
8,4.523905236343075,0.10219797525654797,15,4.354047430517456,4.698496452524917,0.022590653410583,0.05659535228235623,0.01251028687066518,4.467309884060719,4.580500588625431,ldr,occ_mean_ldr
9,7.463214216600762,0.12002599591778368,15,7.24175402818926,7.654122773482389,0.016082346350290263,0.06646818104718162,0.00890610655384023,7.396746035553581,7.529682397647943,ldr,occ_mean_ldr
